brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,mileage_per_year,engine_liters
Ford,Utility Police Interceptor Base,2013.0,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,False,True,10300.0,12.0,4250.0,3.7
Hyundai,Palisade SEL,2021.0,34742.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,False,True,38005.0,4.0,8685.5,3.8
Lexus,RX 350 RX 350,2022.0,22372.0,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,False,False,54598.0,3.0,7457.333333333333,3.5
INFINITI,Q50 Hybrid Sport,2015.0,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,False,True,15500.0,10.0,8890.0,3.5
Audi,Q3 45 S line Premium Plus,2021.0,9835.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,False,False,34999.0,4.0,2458.75,2.0
Acura,ILX 2.4L,2016.0,136397.0,Gasoline,2.4 Liter,F,Silver,Ebony.,False,False,14798.0,9.0,15155.222222222223,2.4
Audi,S3 2.0T Premium Plus,2017.0,84000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,False,True,31000.0,8.0,10500.0,2.0
BMW,740 iL,2001.0,242000.0,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,False,True,7300.0,24.0,10083.333333333334,4.4
Lexus,RC 350 F Sport,2021.0,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,41927.0,4.0,5859.0,3.5
Tesla,Model X Long Range Plus,2020.0,34000.0,,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,False,True,69950.0,5.0,6800.0,
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021.0,27608.0,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,False,False,73897.0,4.0,6902.0,
Aston,Martin DBS Superleggera,2019.0,22770.0,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,False,True,184606.0,6.0,3795.0,5.2
Toyota,Supra 3.0 Premium,2021.0,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,False,True,53500.0,4.0,3125.0,3.0
Lincoln,Aviator Reserve AWD,2022.0,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,False,True,62000.0,3.0,6065.333333333333,3.0
Jaguar,F-TYPE,2020.0,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,False,False,47998.0,5.0,3180.6,2.0
Land,Rover LR4 HSE,2013.0,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,False,True,29990.0,12.0,6650.0,5.0
Mercedes-Benz,Metris Base,2021.0,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,False,True,250000.0,4.0,421.25,2.0
Dodge,Challenger SXT,2013.0,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,False,True,16800.0,12.0,5089.5,3.6
Nissan,350Z Enthusiast,2003.0,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,False,True,11000.0,22.0,3363.6363636363635,3.5
Jaguar,F-TYPE R,2018.0,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,False,True,68750.0,7.0,5035.714285714285,5.0
Genesis,GV70 3.5T Sport,2023.0,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,False,False,60000.0,2.0,2700.0,3.5
Chevrolet,S-10 LS,2000.0,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,False,True,4500.0,25.0,5340.4,2.2
BMW,440 Gran Coupe 440i xDrive,2020.0,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,False,False,38598.0,5.0,5198.0,3.0
Ford,F-150 XLT,2023.0,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,False,True,58504.0,2.0,1411.5,3.5
Chevrolet,Suburban RST,2021.0,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,False,True,61000.0,4.0,13000.0,5.3
Hyundai,Elantra N Base,2022.0,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,32300.0,3.0,3883.3333333333335,2.0
Nissan,Sentra SR,2016.0,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,False,False,13998.0,9.0,10726.777777777777,1.8
